id_dpto;divipola;nombre;latitud;Longitud;SubregionPDET;zonaReservaCampesina;zomac ;ruralidad;restitucionTierras;zonaNucleoReforma;mape
05;5001;Medellín;6,246631;-75,581775;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
05;5002;Abejorral;5,789315;-75,428739;No PDET;Sin zona;true;Rural;true;No ZNRA;Ausencia
05;5004;Abriaquí;6,632282;-76,064304;No PDET;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
05;5021;Alejandría;6,376061;-75,141346;No PDET;Sin zona;true;Rural;true;No ZNRA;Ausencia
05;5030;Amagá;6,038708;-75,702188;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5031;Amalfi;6,909655;-75,077501;BAJO CAUCA Y NORDESTE ANTIOQUEÑO;Sin zona;true;Rural;true;No ZNRA;Presencia
05;5034;Andes;5,657194;-75,878828;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5036;Angelópolis;6,109719;-75,711389;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5038;Angostura;6,885175;-75,335116;No PDET;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
05;5040;Anorí;7,074703;-75,148355;BAJO CAUCA Y NORDESTE ANTIOQUEÑO;Sin zona;true;Rural;true;No ZNRA;Presencia
05;5042;Santa fé de antioquia;6,556484;-75,826648;No PDET;Sin zona;true;Rural;true;No ZNRA;Ausencia
05;5044;Anzá;6,302641;-75,854442;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
05;5045;Apartadó;7,882968;-76,625279;URABÁ ANTIOQUEÑO;San José Apartadó;true;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
05;5051;Arboletes;8,849317;-76,426708;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5055;Argelia;5,731474;-75,14107;No PDET;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
05;5059;Armenia;6,155667;-75,786647;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
05;5079;Barbosa;6,439195;-75,331627;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
05;5086;Belmira;6,606319;-75,667779;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
05;5088;Bello;6,333587;-75,555245;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
05;5091;Betania;5,74615;-75,97679;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5093;Betulia;6,115208;-75,984452;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5101;Ciudad bolívar;5,850273;-76,021509;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5107;Briceño;7,112803;-75,55036;BAJO CAUCA Y NORDESTE ANTIOQUEÑO;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
05;5113;Buriticá;6,720759;-75,907;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Presencia
05;5120;Cáceres;7,578366;-75,35205;BAJO CAUCA Y NORDESTE ANTIOQUEÑO;Sin zona;true;Rural disperso;true;Cordoba;Presencia
05;5125;Caicedo;6,405607;-75,98293;No PDET;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
05;5129;Caldas;6,091077;-75,633673;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
05;5134;Campamento;6,979771;-75,298091;No PDET;Sin zona;true;Rural;true;No ZNRA;Ausencia
05;5138;Cañasgordas;6,753859;-76,028228;No PDET;Sin zona;false;Rural;true;No ZNRA;Presencia
05;5142;Caracolí;6,409829;-74,757421;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
05;5145;Caramanta;5,54853;-75,643868;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5147;Carepa;7,755148;-76,652652;URABÁ ANTIOQUEÑO;Sin zona;true;Intermedio;true;No ZNRA;Ausencia
05;5148;El carmen de viboral;6,082885;-75,333901;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5150;Carolina;6,725995;-75,283192;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
05;5154;Caucasia;7,977278;-75,197996;BAJO CAUCA Y NORDESTE ANTIOQUEÑO;Sin zona;true;Ciudades y aglomeraciones;true;Cordoba;Presencia
05;5172;Chigorodó;7,666147;-76,681531;URABÁ ANTIOQUEÑO;Sin zona;true;Intermedio;true;No ZNRA;Ausencia
05;5190;Cisneros;6,537829;-75,087047;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5197;Cocorná;6,058295;-75,185483;No PDET;Sin zona;true;Rural;true;No ZNRA;Ausencia
05;5206;Concepción;6,394348;-75,257587;No PDET;Sin zona;true;Rural;true;No ZNRA;Ausencia
05;5209;Concordia;6,045738;-75,908448;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5212;Copacabana;6,348557;-75,509384;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
05;5234;Dabeiba;6,998112;-76,261614;URABÁ ANTIOQUEÑO;Sin zona;true;Rural;true;No ZNRA;Ausencia
05;5237;Donmatías;6,485603;-75,39263;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5240;Ebéjico;6,325615;-75,766413;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
05;5250;El bagre;7,5975;-74,799097;BAJO CAUCA Y NORDESTE ANTIOQUEÑO;Sin zona;true;Intermedio;true;No ZNRA;Presencia
05;5264;Entrerríos;6,566273;-75,517685;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
05;5266;Envigado;6,166695;-75,582192;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
05;5282;Fredonia;5,928039;-75,675072;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5284;Frontino;6,776066;-76,130765;No PDET;Sin zona;true;Rural;true;No ZNRA;Presencia
05;5306;Giraldo;6,680808;-75,952158;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
05;5308;Girardota;6,379472;-75,444238;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
05;5310;Gómez plata;6,683269;-75,220018;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
05;5313;Granada;6,142892;-75,184446;No PDET;Sin zona;true;Intermedio;true;No ZNRA;Ausencia
05;5315;Guadalupe;6,815069;-75,239862;No PDET;Sin zona;true;Intermedio;true;No ZNRA;Ausencia
05;5318;Guarne;6,27787;-75,441612;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5321;Guatapé;6,232461;-75,160041;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5347;Heliconia;6,206757;-75,734322;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5353;Hispania;5,799461;-75,906587;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5360;Itagüí;6,175079;-75,612056;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
05;5361;Ituango;7,171629;-75,764673;BAJO CAUCA Y NORDESTE ANTIOQUEÑO;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
05;5364;Jardín;5,597542;-75,818982;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5368;Jericó;5,789748;-75,785499;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5376;La ceja;6,028062;-75,429433;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5380;La estrella;6,145238;-75,637708;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
05;5390;La pintada;5,743808;-75,60781;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5400;La unión;5,973845;-75,360874;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5411;Liborina;6,677316;-75,812838;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
05;5425;Maceo;6,552116;-74,78716;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
05;5440;Marinilla;6,173995;-75,339345;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5467;Montebello;5,946313;-75,523455;No PDET;Sin zona;true;Intermedio;true;No ZNRA;Ausencia
05;5475;Murindó;6,97771;-76,817485;CHOCÓ;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
05;5480;Mutatá;7,242875;-76,435875;URABÁ ANTIOQUEÑO;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
05;5483;Nariño;5,610777;-75,176262;No PDET;Sin zona;true;Rural;true;No ZNRA;Ausencia
05;5490;Necoclí;8,434526;-76,787271;URABÁ ANTIOQUEÑO;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
05;5495;Nechí;8,094129;-74,77647;BAJO CAUCA Y NORDESTE ANTIOQUEÑO;Sin zona;true;Rural;true;No ZNRA;Presencia
05;5501;Olaya;6,626492;-75,811773;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
05;5541;Peñol;6,219349;-75,242693;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5543;Peque;7,021029;-75,910357;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
05;5576;Pueblorrico;5,79158;-75,839903;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5579;Puerto berrío;6,487028;-74,410016;No PDET;Sin zona;true;Intermedio;true;Magdalena Medio;Ausencia
05;5585;Puerto nare;6,186025;-74,583012;No PDET;Sin zona;false;Rural;true;Magdalena Medio;Ausencia
05;5591;Puerto triunfo;5,871318;-74,64119;No PDET;Sin zona;false;Intermedio;true;Magdalena Medio;Ausencia
05;5604;Remedios;7,029424;-74,698135;BAJO CAUCA Y NORDESTE ANTIOQUEÑO;Valle del río Cimitarra;true;Rural;true;No ZNRA;Presencia
05;5607;Retiro;6,062454;-75,501301;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5615;Rionegro;6,147148;-75,377316;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
05;5628;Sabanalarga;6,850028;-75,816645;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
05;5631;Sabaneta;6,149903;-75,615479;No PDET;Sin zona;false;Ciudades y aglomeraciones;false;No ZNRA;Ausencia
05;5642;Salgar;5,964198;-75,976807;No PDET;Sin zona;true;Rural;true;No ZNRA;Ausencia
05;5647;San andrés de cuerquía;6,916676;-75,674564;No PDET;Sin zona;true;Rural;true;No ZNRA;Ausencia
05;5649;San carlos;6,187746;-74,988097;No PDET;Sin zona;true;Rural;true;No ZNRA;Ausencia
05;5652;San francisco;5,963476;-75,101562;No PDET;Sin zona;true;Rural;true;No ZNRA;Ausencia
05;5656;San jerónimo;6,44809;-75,726975;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5658;San josé de la montaña;6,85009;-75,683352;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
05;5659;San juan de urabá;8,758964;-76,52857;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
05;5660;San luis;6,043017;-74,993619;No PDET;Sin zona;true;Rural;true;No ZNRA;Ausencia
